"filename", "language", "Java", "Markdown", "XML", "comment", "blank", "total"
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/config/sentinelErrorConfig/Exceptions/SentinelExceptions.java", "Java", 11, 0, 0, 0, 3, 14
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/config/sentinelErrorConfig/SentinelError.java", "Java", 6, 0, 0, 0, 3, 9
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/controller/CaseController.java", "Java", 15, 0, 0, 0, 3, 18
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/controller/CitizenController.java", "Java", 10, 0, 0, 0, 4, 14
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/controller/FirController.java", "Java", 14, 0, 0, 0, 4, 18
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/controller/PoliceController.java", "Java", 12, 0, 0, 0, 3, 15
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/controller/VerdictController.java", "Java", 7, 0, 0, 0, 3, 10
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/controller/controllerImpl/CaseControllerImpl.java", "Java", 127, 0, 0, 0, 18, 145
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/controller/controllerImpl/CitizenControllerImpl.java", "Java", 85, 0, 0, 0, 14, 99
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/controller/controllerImpl/FirControllerImpl.java", "Java", 118, 0, 0, 0, 15, 133
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/controller/controllerImpl/PoliceControllerImpl.java", "Java", 142, 0, 0, 0, 16, 158
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/controller/controllerImpl/VerdictControllerImpl.java", "Java", 56, 0, 0, 0, 9, 65
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/dao/CaseDao.java", "Java", 16, 0, 0, 0, 4, 20
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/dao/CitizenDao.java", "Java", 8, 0, 0, 0, 4, 12
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/dao/FirDao.java", "Java", 13, 0, 0, 0, 4, 17
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/dao/OICDao.java", "Java", 5, 0, 0, 0, 3, 8
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/dao/PoliceDao.java", "Java", 11, 0, 0, 0, 4, 15
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/dao/VerdictDao.java", "Java", 7, 0, 0, 0, 3, 10
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/dao/daoImpl/CaseDaoImpl.java", "Java", 162, 0, 0, 0, 17, 179
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/dao/daoImpl/CitizenDaoImpl.java", "Java", 63, 0, 0, 0, 10, 73
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/dao/daoImpl/FirDaoImpl.java", "Java", 234, 0, 0, 0, 18, 252
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/dao/daoImpl/OICDaoImpl.java", "Java", 37, 0, 0, 0, 8, 45
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/dao/daoImpl/PoliceDaoImpl.java", "Java", 114, 0, 0, 0, 16, 130
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/dao/daoImpl/VerdictDaoImpl.java", "Java", 64, 0, 0, 0, 9, 73
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/database/JdbcConnection.java", "Java", 70, 0, 0, 0, 10, 80
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/model/Case.java", "Java", 22, 0, 0, 0, 5, 27
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/model/Citizen.java", "Java", 45, 0, 0, 0, 6, 51
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/model/Context.java", "Java", 13, 0, 0, 0, 3, 16
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/model/Fir.java", "Java", 39, 0, 0, 0, 6, 45
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/model/Log.java", "Java", 24, 0, 0, 0, 4, 28
